TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
movieyeme,movie,id,int,NO
movieyeme,movie,name,varchar,NO
movieyeme,movie,price,int,NO
movieyeme,movie,poster,varchar,YES
movieyeme,show,id,int,NO
movieyeme,show,time,varchar,YES
movieyeme,show,theater_id,int,YES
movieyeme,show,movie_id,int,YES
movieyeme,theater,id,int,NO
movieyeme,theater,name,varchar,NO
movieyeme,theater,width,int,NO
movieyeme,theater,height,int,NO
movieyeme,ticket,id,int,NO
movieyeme,ticket,show_id,int,YES
movieyeme,ticket,width,int,YES
movieyeme,ticket,height,int,YES
movieyeme,ticket,phone,varchar,YES
